,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8474289,1.618255,288.0,1,0train,22,2,BNCI2014-001,ACOV+TSH+LR
1,0.8336358,1.3531642,288.0,1,1test,22,2,BNCI2014-001,ACOV+TSH+LR
2,0.68439204,1.3601416,288.0,2,0train,22,2,BNCI2014-001,ACOV+TSH+LR
3,0.68427104,1.4836514,288.0,2,1test,22,2,BNCI2014-001,ACOV+TSH+LR
4,0.86116153,1.6197748,288.0,3,0train,22,2,BNCI2014-001,ACOV+TSH+LR
5,0.8957048,1.59183,288.0,3,1test,22,2,BNCI2014-001,ACOV+TSH+LR
6,0.7077435,1.8677982,288.0,4,0train,22,2,BNCI2014-001,ACOV+TSH+LR
7,0.8124622,1.4186274,288.0,4,1test,22,2,BNCI2014-001,ACOV+TSH+LR
8,0.49298245,1.654816,288.0,5,0train,22,2,BNCI2014-001,ACOV+TSH+LR
9,0.5451906,1.6761016,288.0,5,1test,22,2,BNCI2014-001,ACOV+TSH+LR
10,0.5836056,1.6929662,288.0,6,0train,22,2,BNCI2014-001,ACOV+TSH+LR
11,0.52807015,1.6568266,288.0,6,1test,22,2,BNCI2014-001,ACOV+TSH+LR
12,0.8436177,1.583557,288.0,7,0train,22,2,BNCI2014-001,ACOV+TSH+LR
13,0.9165759,1.9991271,288.0,7,1test,22,2,BNCI2014-001,ACOV+TSH+LR
14,0.8678766,1.609599,288.0,8,0train,22,2,BNCI2014-001,ACOV+TSH+LR
15,0.9166364,1.6060731,288.0,8,1test,22,2,BNCI2014-001,ACOV+TSH+LR
16,0.715245,1.7288603,288.0,9,0train,22,2,BNCI2014-001,ACOV+TSH+LR
17,0.8955838,1.6659529,288.0,9,1test,22,2,BNCI2014-001,ACOV+TSH+LR
