,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7356322,0.560574,288.0,1,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
1,0.74670297,0.586779,288.0,1,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
2,0.5349062,0.59810865,288.0,2,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
3,0.42710224,0.6010208,288.0,2,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
4,0.68421054,0.5424715,288.0,3,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
5,0.7257713,0.6199714,288.0,3,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
6,0.52075016,0.582768,288.0,4,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
7,0.6461585,0.68309397,288.0,4,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
8,0.3926195,0.6158986,288.0,5,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
9,0.46581972,0.6756344,288.0,5,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
10,0.4585602,0.8239132,288.0,6,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
11,0.43442225,0.75239176,288.0,6,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
12,0.6910466,0.6944908,288.0,7,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
13,0.69818515,0.6545414,288.0,7,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
14,0.7880823,0.654872,288.0,8,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
15,0.7359952,0.6776484,288.0,8,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
16,0.57658803,0.626312,288.0,9,0train,22,2,BNCI2014-001,ACOV(lw)+MDM
17,0.8088929,0.63386,288.0,9,1test,22,2,BNCI2014-001,ACOV(lw)+MDM
