,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8091954,2.2963676,288.0,1,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
1,0.8196007,2.538466,288.0,1,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
2,0.63557166,2.2789123,288.0,2,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
3,0.6459165,2.227259,288.0,2,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
4,0.8578342,2.829924,288.0,3,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
5,0.88529944,2.8493931,288.0,3,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
6,0.68717486,2.6152985,288.0,4,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
7,0.78832424,2.4521506,288.0,4,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
8,0.53115547,2.7126331,288.0,5,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
9,0.500363,2.9066443,288.0,5,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
10,0.60108894,2.4712439,288.0,6,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
11,0.5243799,2.4835355,288.0,6,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
12,0.8369026,2.3894541,288.0,7,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
13,0.88886875,2.4658105,288.0,7,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
14,0.86104053,2.6453629,288.0,8,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
15,0.88523895,2.592827,288.0,8,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
16,0.7120992,2.61034,288.0,9,0train,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
17,0.88511795,2.45059,288.0,9,1test,22,2,BNCI2014-001,ACOV(lw)+TSH+LR
