,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7741077,0.6544776,288.0,1,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
1,0.7744707,0.5275988,288.0,1,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
2,0.58699334,0.51519316,288.0,2,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
3,0.47931033,0.43031183,288.0,2,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
4,0.7258318,0.46948957,288.0,3,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
5,0.78112525,0.4933156,288.0,3,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
6,0.56243193,0.42969555,288.0,4,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
7,0.7017544,0.4120888,288.0,4,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
8,0.4168179,0.3812502,288.0,5,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
9,0.47973382,0.40553397,288.0,5,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
10,0.46884453,0.39829302,288.0,6,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
11,0.43768904,0.39101845,288.0,6,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
12,0.72232306,0.39337927,288.0,7,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
13,0.7744707,0.41088,288.0,7,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
14,0.8227465,0.43101582,288.0,8,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
15,0.76739264,0.44481596,288.0,8,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
16,0.61119175,0.44987172,288.0,9,0train,22,2,BNCI2014-001,ACOV(lwc)+MDM
17,0.822807,0.42031622,288.0,9,1test,22,2,BNCI2014-001,ACOV(lwc)+MDM
