,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8126437,2.3532255,288.0,1,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
1,0.823049,1.8861232,288.0,1,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
2,0.65977013,2.330105,288.0,2,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
3,0.6600121,1.9760758,288.0,2,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
4,0.8681186,2.244794,288.0,3,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
5,0.89915305,2.4002771,288.0,3,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
6,0.69770116,1.9596156,288.0,4,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
7,0.7952208,1.825018,288.0,4,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
8,0.5104053,2.1319072,288.0,5,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
9,0.5350272,1.8840399,288.0,5,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
10,0.59056264,2.451199,288.0,6,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
11,0.5451906,2.370828,288.0,6,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
12,0.8436782,1.9749744,288.0,7,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
13,0.9027828,2.8306499,288.0,7,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
14,0.88868725,2.8467078,288.0,8,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
15,0.9062916,2.155266,288.0,8,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
16,0.7119177,1.892433,288.0,9,0train,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
17,0.8957048,2.5803137,288.0,9,1test,22,2,BNCI2014-001,ACOV(lwc)+TSH+LR
