,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7741077,0.69403464,288.0,1,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
1,0.7744707,0.577385,288.0,1,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
2,0.58699334,0.53339124,288.0,2,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
3,0.47931033,0.5275098,288.0,2,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
4,0.7258318,0.56205595,288.0,3,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
5,0.78112525,0.6692844,288.0,3,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
6,0.56243193,0.59863496,288.0,4,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
7,0.7017544,0.7437746,288.0,4,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
8,0.4168179,0.6633646,288.0,5,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
9,0.47973382,0.62751484,288.0,5,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
10,0.46884453,0.5484768,288.0,6,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
11,0.43768904,0.5631998,288.0,6,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
12,0.72232306,0.51606554,288.0,7,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
13,0.7744707,0.407832,288.0,7,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
14,0.8227465,0.5452442,288.0,8,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
15,0.76739264,0.47886807,288.0,8,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
16,0.61119175,0.45606422,288.0,9,0train,22,2,BNCI2014-001,ACOV(lwfc)+MDM
17,0.822807,0.41600618,288.0,9,1test,22,2,BNCI2014-001,ACOV(lwfc)+MDM
