,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8126437,2.0120761,288.0,1,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
1,0.823049,1.5962806,288.0,1,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
2,0.65977013,1.8398147,288.0,2,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
3,0.6600121,1.8801026,288.0,2,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
4,0.8681186,1.7905385,288.0,3,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
5,0.89915305,1.42104,288.0,3,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
6,0.69770116,1.6379641,288.0,4,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
7,0.7952208,1.9209272,288.0,4,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
8,0.5104053,2.183325,288.0,5,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
9,0.5350272,1.973811,288.0,5,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
10,0.59056264,1.9179188,288.0,6,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
11,0.5451906,1.8847698,288.0,6,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
12,0.8436782,1.6043518,288.0,7,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
13,0.9027828,1.7326905,288.0,7,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
14,0.88868725,1.6839244,288.0,8,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
15,0.9062916,1.5580631,288.0,8,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
16,0.7119177,1.6581956,288.0,9,0train,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
17,0.8957048,2.44521,288.0,9,1test,22,2,BNCI2014-001,ACOV(lwfc)+TSH+LR
