,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7600726,0.9482074,288.0,1,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
1,0.7570478,1.0283066,288.0,1,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
2,0.56606174,0.8177205,288.0,2,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
3,0.42008469,0.7863104,288.0,2,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
4,0.68408954,0.77218723,288.0,3,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
5,0.7292196,0.6813242,288.0,3,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
6,0.54137933,0.7218168,288.0,4,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
7,0.6565638,0.8381778,288.0,4,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
8,0.40980035,0.70915735,288.0,5,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
9,0.4693285,0.7725098,288.0,5,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
10,0.47943133,0.64693105,288.0,6,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
11,0.40980035,0.63259184,288.0,6,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
12,0.7120387,0.5817916,288.0,7,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
13,0.7466425,0.6757262,288.0,7,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
14,0.784513,0.6500047,288.0,8,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
15,0.7428917,0.6947324,288.0,8,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
16,0.59038115,0.71621203,288.0,9,0train,22,2,BNCI2014-001,ACOV(oas)+MDM
17,0.80187535,1.0029098,288.0,9,1test,22,2,BNCI2014-001,ACOV(oas)+MDM
