,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8231095,3.1909983,288.0,1,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
1,0.81609195,3.0917435,288.0,1,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
2,0.6424077,2.5626347,288.0,2,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
3,0.63557166,2.5694818,288.0,2,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
4,0.87495464,3.0257437,288.0,3,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
5,0.8819117,2.8459625,288.0,3,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
6,0.70804596,2.8977768,288.0,4,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
7,0.77791893,2.6249087,288.0,4,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
8,0.5241379,2.6054091,288.0,5,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
9,0.500242,2.5535285,288.0,5,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
10,0.58717483,3.666283,288.0,6,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
11,0.5244404,3.5315979,288.0,6,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
12,0.84041137,3.7604737,288.0,7,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
13,0.89588624,3.1937218,288.0,7,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
14,0.86104053,3.3865213,288.0,8,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
15,0.8817302,3.5324259,288.0,8,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
16,0.69449484,3.164061,288.0,9,0train,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
17,0.8956443,2.7548008,288.0,9,1test,22,2,BNCI2014-001,ACOV(oas)+TSH+LR
