,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.79147005,0.3725954,288.0,1,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
1,0.76751363,0.3780902,288.0,1,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
2,0.6044767,0.35388285,288.0,2,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
3,0.4862069,0.35052162,288.0,2,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
4,0.7360557,0.4319024,288.0,3,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
5,0.753418,0.4005584,288.0,3,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
6,0.57955235,0.37476984,288.0,4,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
7,0.69818515,0.5671762,288.0,4,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
8,0.42728373,0.4779926,288.0,5,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
9,0.46237144,0.50046146,288.0,5,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
10,0.47265577,0.38783842,288.0,6,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
11,0.42026618,0.43386802,288.0,6,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
12,0.74670297,0.47906637,288.0,7,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
13,0.8090744,0.5276692,288.0,7,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
14,0.8332728,0.5508008,288.0,8,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
15,0.76727164,0.5065578,288.0,8,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
16,0.6042952,0.44882578,288.0,9,0train,22,2,BNCI2014-001,ACOV(oasc)+MDM
17,0.822686,0.44809955,288.0,9,1test,22,2,BNCI2014-001,ACOV(oasc)+MDM
