,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.82649726,2.569603,288.0,1,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
1,0.8196007,1.9789522,288.0,1,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
2,0.6737447,2.064857,288.0,2,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
3,0.65323657,2.123957,288.0,2,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
4,0.8645493,2.1726594,288.0,3,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
5,0.89921355,2.0298796,288.0,3,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
6,0.714761,2.6373763,288.0,4,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
7,0.7986691,2.2461665,288.0,4,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
8,0.49649122,2.540482,288.0,5,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
9,0.5349667,2.3268895,288.0,5,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
10,0.59056264,2.2271726,288.0,6,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
11,0.5347248,2.7691185,288.0,6,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
12,0.82970357,2.0791445,288.0,7,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
13,0.89933455,2.6145754,288.0,7,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
14,0.8817907,2.5446057,288.0,8,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
15,0.9062916,2.0843897,288.0,8,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
16,0.71179676,2.1810937,288.0,9,0train,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
17,0.88868725,1.8518914,288.0,9,1test,22,2,BNCI2014-001,ACOV(oasc)+TSH+LR
