,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8474289,1.6836894,288.0,1,0train,22,2,BNCI2014-001,ACOV+TSH+LR
1,0.8336358,1.5420048,288.0,1,1test,22,2,BNCI2014-001,ACOV+TSH+LR
2,0.68439204,1.481648,288.0,2,0train,22,2,BNCI2014-001,ACOV+TSH+LR
3,0.68427104,1.381566,288.0,2,1test,22,2,BNCI2014-001,ACOV+TSH+LR
4,0.86116153,1.5336254,288.0,3,0train,22,2,BNCI2014-001,ACOV+TSH+LR
5,0.8957048,1.7774563,288.0,3,1test,22,2,BNCI2014-001,ACOV+TSH+LR
6,0.7077435,1.8241999,288.0,4,0train,22,2,BNCI2014-001,ACOV+TSH+LR
7,0.8124622,1.9427125,288.0,4,1test,22,2,BNCI2014-001,ACOV+TSH+LR
8,0.49298245,2.4071002,288.0,5,0train,22,2,BNCI2014-001,ACOV+TSH+LR
9,0.5451906,2.1063986,288.0,5,1test,22,2,BNCI2014-001,ACOV+TSH+LR
10,0.5836056,3.3360057,288.0,6,0train,22,2,BNCI2014-001,ACOV+TSH+LR
11,0.52807015,2.2805874,288.0,6,1test,22,2,BNCI2014-001,ACOV+TSH+LR
12,0.8436177,2.5824177,288.0,7,0train,22,2,BNCI2014-001,ACOV+TSH+LR
13,0.9165759,2.480132,288.0,7,1test,22,2,BNCI2014-001,ACOV+TSH+LR
14,0.8678766,2.331039,288.0,8,0train,22,2,BNCI2014-001,ACOV+TSH+LR
15,0.9166364,2.317638,288.0,8,1test,22,2,BNCI2014-001,ACOV+TSH+LR
16,0.715245,2.0155907,288.0,9,0train,22,2,BNCI2014-001,ACOV+TSH+LR
17,0.8955838,2.07868,288.0,9,1test,22,2,BNCI2014-001,ACOV+TSH+LR
