,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7323049,0.24355058,288.0,1,0train,22,2,BNCI2014-001,COV(lw)+MDM
1,0.73629767,0.273568,288.0,1,1test,22,2,BNCI2014-001,COV(lw)+MDM
2,0.54531157,0.25404257,288.0,2,0train,22,2,BNCI2014-001,COV(lw)+MDM
3,0.4339988,0.26972723,288.0,2,1test,22,2,BNCI2014-001,COV(lw)+MDM
4,0.6875378,0.22804299,288.0,3,0train,22,2,BNCI2014-001,COV(lw)+MDM
5,0.72220206,0.25926122,288.0,3,1test,22,2,BNCI2014-001,COV(lw)+MDM
6,0.47900787,0.2253396,288.0,4,0train,22,2,BNCI2014-001,COV(lw)+MDM
7,0.62861466,0.2607512,288.0,4,1test,22,2,BNCI2014-001,COV(lw)+MDM
8,0.36479127,0.23675624,288.0,5,0train,22,2,BNCI2014-001,COV(lw)+MDM
9,0.43448275,0.2608308,288.0,5,1test,22,2,BNCI2014-001,COV(lw)+MDM
10,0.44839686,0.29090562,288.0,6,0train,22,2,BNCI2014-001,COV(lw)+MDM
11,0.40641257,0.26578665,288.0,6,1test,22,2,BNCI2014-001,COV(lw)+MDM
12,0.6877193,0.22105756,288.0,7,0train,22,2,BNCI2014-001,COV(lw)+MDM
13,0.72244406,0.24922577,288.0,7,1test,22,2,BNCI2014-001,COV(lw)+MDM
14,0.784755,0.2227652,288.0,8,0train,22,2,BNCI2014-001,COV(lw)+MDM
15,0.72208107,0.24168506,288.0,8,1test,22,2,BNCI2014-001,COV(lw)+MDM
16,0.58663034,0.21181603,288.0,9,0train,22,2,BNCI2014-001,COV(lw)+MDM
17,0.8123412,0.2469264,288.0,9,1test,22,2,BNCI2014-001,COV(lw)+MDM
