,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7984876,0.8602596,288.0,1,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
1,0.8093769,0.9069124,288.0,1,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
2,0.6217786,0.86036557,288.0,2,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
3,0.6425892,0.876601,288.0,2,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
4,0.8680581,0.8837396,288.0,3,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
5,0.86104053,0.90489763,288.0,3,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
6,0.6317604,0.8859175,288.0,4,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
7,0.73266786,0.8922943,288.0,4,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
8,0.46533576,0.8905574,288.0,5,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
9,0.45166364,0.86932904,288.0,5,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
10,0.55595887,0.862987,288.0,6,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
11,0.5139141,0.87349,288.0,6,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
12,0.823049,0.82440484,288.0,7,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
13,0.8817302,0.8603442,288.0,7,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
14,0.86104053,0.8362698,288.0,8,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
15,0.8506957,0.8427068,288.0,8,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
16,0.6877798,0.8415414,288.0,9,0train,22,2,BNCI2014-001,COV(lw)+TSP+LR
17,0.892075,0.8950426,288.0,9,1test,22,2,BNCI2014-001,COV(lw)+TSP+LR
