,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7496068,0.19158201,288.0,1,0train,22,2,BNCI2014-001,COV(oas)+MDM
1,0.72232306,0.20766778,288.0,1,1test,22,2,BNCI2014-001,COV(oas)+MDM
2,0.5834846,0.1897376,288.0,2,0train,22,2,BNCI2014-001,COV(oas)+MDM
3,0.43030852,0.21244302,288.0,2,1test,22,2,BNCI2014-001,COV(oas)+MDM
4,0.69455534,0.18571544,288.0,3,0train,22,2,BNCI2014-001,COV(oas)+MDM
5,0.7290381,0.22745338,288.0,3,1test,22,2,BNCI2014-001,COV(oas)+MDM
6,0.4892317,0.1995122,288.0,4,0train,22,2,BNCI2014-001,COV(oas)+MDM
7,0.6216576,0.21600303,288.0,4,1test,22,2,BNCI2014-001,COV(oas)+MDM
8,0.39951605,0.18762799,288.0,5,0train,22,2,BNCI2014-001,COV(oas)+MDM
9,0.42413792,0.21313858,288.0,5,1test,22,2,BNCI2014-001,COV(oas)+MDM
10,0.45184514,0.18265304,288.0,6,0train,22,2,BNCI2014-001,COV(oas)+MDM
11,0.4167574,0.21270117,288.0,6,1test,22,2,BNCI2014-001,COV(oas)+MDM
12,0.70514214,0.18763323,288.0,7,0train,22,2,BNCI2014-001,COV(oas)+MDM
13,0.7641258,0.2077426,288.0,7,1test,22,2,BNCI2014-001,COV(oas)+MDM
14,0.79177254,0.1954926,288.0,8,0train,22,2,BNCI2014-001,COV(oas)+MDM
15,0.7150635,0.25264364,288.0,8,1test,22,2,BNCI2014-001,COV(oas)+MDM
16,0.5833636,0.19606504,288.0,9,0train,22,2,BNCI2014-001,COV(oas)+MDM
17,0.8088324,0.2256126,288.0,9,1test,22,2,BNCI2014-001,COV(oas)+MDM
