,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8090139,0.90211105,288.0,1,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
1,0.8126437,0.85216784,288.0,1,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
2,0.6217181,0.847884,288.0,2,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
3,0.6355112,0.8766636,288.0,2,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
4,0.8679976,0.8237254,288.0,3,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
5,0.8645493,0.8783862,288.0,3,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
6,0.638657,0.8636756,288.0,4,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
7,0.7396249,0.87373525,288.0,4,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
8,0.46878403,0.8999458,288.0,5,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
9,0.47937083,0.887025,288.0,5,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
10,0.5350877,0.88435704,288.0,6,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
11,0.53133696,0.8879222,288.0,6,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
12,0.83000606,1.2698005,288.0,7,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
13,0.8817907,0.970037,288.0,7,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
14,0.87138534,0.8871972,288.0,8,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
15,0.8471869,0.99513495,288.0,8,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
16,0.69455534,1.2926412,288.0,9,0train,22,2,BNCI2014-001,COV(oas)+TSP+LR
17,0.8921355,1.1310503,288.0,9,1test,22,2,BNCI2014-001,COV(oas)+TSP+LR
