,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7845735,0.31534457,288.0,1,0train,22,2,BNCI2014-001,COV+MDM
1,0.7708409,0.23490778,288.0,1,1test,22,2,BNCI2014-001,COV+MDM
2,0.63575315,0.22099939,288.0,2,0train,22,2,BNCI2014-001,COV+MDM
3,0.52105266,0.214155,288.0,2,1test,22,2,BNCI2014-001,COV+MDM
4,0.7707804,0.13620444,288.0,3,0train,22,2,BNCI2014-001,COV+MDM
5,0.7709014,0.15698342,288.0,3,1test,22,2,BNCI2014-001,COV+MDM
6,0.5169994,0.13093814,288.0,4,0train,22,2,BNCI2014-001,COV+MDM
7,0.67023593,0.13492718,288.0,4,1test,22,2,BNCI2014-001,COV+MDM
8,0.392559,0.12958845,288.0,5,0train,22,2,BNCI2014-001,COV+MDM
9,0.45529342,0.12268324,288.0,5,1test,22,2,BNCI2014-001,COV+MDM
10,0.4446461,0.13076386,288.0,6,0train,22,2,BNCI2014-001,COV+MDM
11,0.42026618,0.12806125,288.0,6,1test,22,2,BNCI2014-001,COV+MDM
12,0.7604961,0.119851634,288.0,7,0train,22,2,BNCI2014-001,COV+MDM
13,0.8334543,0.12181296,288.0,7,1test,22,2,BNCI2014-001,COV+MDM
14,0.8261948,0.13155499,288.0,8,0train,22,2,BNCI2014-001,COV+MDM
15,0.78112525,0.121888205,288.0,8,1test,22,2,BNCI2014-001,COV+MDM
16,0.62504536,0.11826281,288.0,9,0train,22,2,BNCI2014-001,COV+MDM
17,0.8331518,0.12373924,288.0,9,1test,22,2,BNCI2014-001,COV+MDM
