,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.82637626,0.40074882,288.0,1,0train,22,2,BNCI2014-001,COV+TSP+LR
1,0.81288564,0.35121518,288.0,1,1test,22,2,BNCI2014-001,COV+TSP+LR
2,0.6635814,0.4031012,288.0,2,0train,22,2,BNCI2014-001,COV+TSP+LR
3,0.6563823,0.40367398,288.0,2,1test,22,2,BNCI2014-001,COV+TSP+LR
4,0.8645493,0.40580064,288.0,3,0train,22,2,BNCI2014-001,COV+TSP+LR
5,0.87138534,0.32799727,288.0,3,1test,22,2,BNCI2014-001,COV+TSP+LR
6,0.6110103,0.3949264,288.0,4,0train,22,2,BNCI2014-001,COV+TSP+LR
7,0.7465215,0.3082624,288.0,4,1test,22,2,BNCI2014-001,COV+TSP+LR
8,0.4583787,0.35653645,288.0,5,0train,22,2,BNCI2014-001,COV+TSP+LR
9,0.48977616,0.31347242,288.0,5,1test,22,2,BNCI2014-001,COV+TSP+LR
10,0.57670903,0.34223422,288.0,6,0train,22,2,BNCI2014-001,COV+TSP+LR
11,0.538415,0.3895844,288.0,6,1test,22,2,BNCI2014-001,COV+TSP+LR
12,0.85063523,0.37350065,288.0,7,0train,22,2,BNCI2014-001,COV+TSP+LR
13,0.89927405,0.3828844,288.0,7,1test,22,2,BNCI2014-001,COV+TSP+LR
14,0.8817907,0.43224984,288.0,8,0train,22,2,BNCI2014-001,COV+TSP+LR
15,0.87162733,0.3693176,288.0,8,1test,22,2,BNCI2014-001,COV+TSP+LR
16,0.6875983,0.41050482,288.0,9,0train,22,2,BNCI2014-001,COV+TSP+LR
17,0.8921355,0.32805538,288.0,9,1test,22,2,BNCI2014-001,COV+TSP+LR
