,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7356322,0.8555399,288.0,1,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
1,0.74670297,0.73935163,288.0,1,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
2,0.5349062,0.703986,288.0,2,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
3,0.42710224,0.69700253,288.0,2,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
4,0.68421054,0.66054565,288.0,3,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
5,0.7257713,0.61810005,288.0,3,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
6,0.52075016,0.6498022,288.0,4,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
7,0.6461585,0.60470665,288.0,4,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
8,0.3926195,0.69430053,288.0,5,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
9,0.46581972,0.60912144,288.0,5,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
10,0.4585602,0.6799526,288.0,6,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
11,0.43442225,0.74606717,288.0,6,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
12,0.6910466,0.7094604,288.0,7,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
13,0.69818515,0.70053804,288.0,7,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
14,0.7880823,0.6069636,288.0,8,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
15,0.7359952,0.58625567,288.0,8,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
16,0.57658803,0.6490974,288.0,9,0train,22,2,BNCI2014-001,HACOV(lw)+MDM
17,0.8088929,1.0442725,288.0,9,1test,22,2,BNCI2014-001,HACOV(lw)+MDM
