,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8091954,190.62373,288.0,1,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
1,0.8196007,6.0827436,288.0,1,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
2,0.63557166,3.1831892,288.0,2,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
3,0.6459165,3.4472845,288.0,2,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
4,0.8578342,2.5256476,288.0,3,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
5,0.88529944,2.9659038,288.0,3,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
6,0.68717486,3.4495091,288.0,4,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
7,0.78832424,2.9707134,288.0,4,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
8,0.53115547,2.4576538,288.0,5,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
9,0.500363,2.871839,288.0,5,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
10,0.60108894,2.620402,288.0,6,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
11,0.5243799,2.8023334,288.0,6,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
12,0.8369026,2.8077013,288.0,7,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
13,0.88886875,3.2544692,288.0,7,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
14,0.86104053,2.5473359,288.0,8,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
15,0.88523895,2.3456047,288.0,8,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
16,0.7120992,2.4491172,288.0,9,0train,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
17,0.88511795,2.8570344,288.0,9,1test,22,2,BNCI2014-001,HACOV(lw)+TSSUB+LR
